Gene_name	Gene_ID	First_design	Original_name	Type
PPP2R1A	ENSG00000105568	IMPACT-341	PPP2R1A	Suppressor
PPP4R2	ENSG00000163605	IMPACT-468	PPP4R2	Others
PPP6C	ENSG00000119414	IMPACT-410	PPP6C	Suppressor
PRDM1	ENSG00000057657	IMPACT-341	PRDM1	Suppressor
PRDM14	ENSG00000147596	IMPACT-468	PRDM14	Others
PREX2	ENSG00000046889	IMPACT-468	PREX2	Others
PRKAR1A	ENSG00000108946	IMPACT-341	PRKAR1A	Others
PRKCI	ENSG00000163558	IMPACT-468	PRKCI	Oncogene
PRKD1	ENSG00000184304	IMPACT-468	PRKD1	Others
PTCH1	ENSG00000185920	IMPACT-341	PTCH1	Suppressor
PTEN	ENSG00000171862	IMPACT-341	PTEN	Suppressor
PTP4A1	ENSG00000112245	IMPACT-468	PTP4A1	Others
PTPN11	ENSG00000179295	IMPACT-341	PTPN11	Oncogene
PTPRD	ENSG00000153707	IMPACT-341	PTPRD	Suppressor
PTPRS	ENSG00000105426	IMPACT-341	PTPRS	Suppressor
PTPRT	ENSG00000196090	IMPACT-341	PTPRT	Suppressor
RAB35	ENSG00000111737	IMPACT-410	RAB35	Oncogene
RAC1	ENSG00000136238	IMPACT-341	RAC1	Oncogene
RAC2	ENSG00000128340	IMPACT-468	RAC2	Oncogene
RAD21	ENSG00000164754	IMPACT-410	RAD21	Suppressor
RAD50	ENSG00000113522	IMPACT-341	RAD50	Suppressor
RAD51	ENSG00000051180	IMPACT-341	RAD51	Suppressor
RAD51C	ENSG00000108384	IMPACT-341	RAD51C	Suppressor
RAD51B	ENSG00000182185	IMPACT-341	RAD51L1	Suppressor
RAD51D	ENSG00000185379	IMPACT-341	RAD51L3	Suppressor
RAD52	ENSG00000002016	IMPACT-341	RAD52	Others
RAD54L	ENSG00000085999	IMPACT-341	RAD54L	Others
RAF1	ENSG00000132155	IMPACT-341	RAF1	Oncogene
RARA	ENSG00000131759	IMPACT-341	RARA	Others
RASA1	ENSG00000145715	IMPACT-341	RASA1	Suppressor
RB1	ENSG00000139687	IMPACT-341	RB1	Suppressor
RBM10	ENSG00000182872	IMPACT-341	RBM10	Suppressor
RECQL	ENSG00000004700	IMPACT-468	RECQL	Suppressor
RECQL4	ENSG00000160957	IMPACT-341	RECQL4	Suppressor
REL	ENSG00000162924	IMPACT-341	REL	Oncogene
RET	ENSG00000165731	IMPACT-341	RET	Oncogene
COP1	ENSG00000143207	IMPACT-341	RFWD2	Oncogene
RHEB	ENSG00000106615	IMPACT-410	RHEB	Oncogene
RHOA	ENSG00000067560	IMPACT-341	RHOA	Oncogene
RICTOR	ENSG00000164327	IMPACT-341	RICTOR	Oncogene
