Gene_name	Basic_transcript
AL359881.3	ENST00000602640
AL359881.2	ENST00000602973
AL359881.1	ENST00000602916
VAMP3	ENST00000054666;ENST00000470357
Z98884.2	ENST00000602406
PER3	ENST00000377541;ENST00000613533;ENST00000614998;ENST00000377532;ENST00000361923
Z98884.1	ENST00000451646
UTS2	ENST00000377516;ENST00000361696;ENST00000054668
TNFRSF9	ENST00000377507;ENST00000615230
AL009183.1	ENST00000603760
PARK7	ENST00000493678;ENST00000377493;ENST00000338639;ENST00000377491;ENST00000377488
